Date,Voucher Type,Amount
03-Dec-21,Payment,"84,103"
25-Nov-21,Receipt,"77,404"
04-Jun-21,Purchase,"47,719"
20-Mar-22,Purchase,"61,645"
26-Dec-21,Journal,"59,547"
03-Feb-22,Sales,"5,286"
05-Oct-21,Journal,"39,364"
31-Aug-21,Sales,"46,878"
26-Sep-21,Purchase,"58,628"
31-May-21,Payment,"86,376"
22-Dec-21,Purchase,"27,381"
14-May-21,Receipt,"81,560"
19-Jun-21,Payment,"44,149"
06-Jul-21,Receipt,"65,035"
01-Jan-22,Purchase,"87,742"
10-Jan-22,Receipt,"36,505"
25-Jan-22,Journal,"75,262"
11-Aug-21,Journal,"66,649"
09-Feb-22,Sales,"79,095"
19-Jun-21,Payment,"26,565"
11-Dec-21,Journal,"96,005"
16-Jan-22,Purchase,"58,037"
10-Aug-21,Sales,"8,959"
09-May-21,Sales,"20,245"
20-Aug-21,Receipt,"1,452"
19-Nov-21,Receipt,"3,566"
22-Jul-21,Purchase,"86,167"
26-Dec-21,Purchase,"4,412"
26-Dec-21,Purchase,"88,340"
22-Sep-21,Receipt,"83,934"
30-Oct-21,Payment,"18,698"
30-Mar-22,Receipt,"96,943"
29-Oct-21,Receipt,"23,784"
03-Mar-22,Journal,"71,071"
13-Oct-21,Payment,"30,970"
31-Oct-21,Journal,"32,489"
09-Dec-21,Sales,"71,758"
12-Feb-22,Payment,"21,271"
28-Jun-21,Receipt,"81,406"
24-Jul-21,Payment,"47,038"
18-Feb-22,Sales,"96,301"
09-Nov-21,Payment,"92,742"
04-Feb-22,Purchase,"86,496"
28-Jan-22,Receipt,"46,292"
04-Jun-21,Sales,"18,842"
16-Dec-21,Purchase,"66,940"
20-Sep-21,Receipt,"86,420"
11-Mar-22,Sales,"4,025"
20-Jun-21,Journal,"7,117"
17-Mar-22,Purchase,"52,529"
02-Aug-21,Receipt,"65,485"
23-Jul-21,Receipt,"72,173"
04-Jun-21,Sales,"30,821"
01-May-21,Journal,"56,653"
04-Apr-21,Receipt,"95,912"
22-Mar-22,Journal,"32,048"
25-Apr-21,Sales,"37,618"
16-Jul-21,Sales,"98,277"
13-Oct-21,Payment,"94,147"
09-Sep-21,Journal,"99,711"
17-Sep-21,Sales,"68,679"
08-Jan-22,Journal,"48,703"
22-Sep-21,Sales,"90,276"
30-Apr-21,Receipt,"52,450"
14-Apr-21,Sales,"99,408"
13-Apr-21,Journal,"21,443"
23-May-21,Purchase,"30,145"
03-Sep-21,Receipt,"67,787"
06-Jun-21,Purchase,"11,131"
06-Dec-21,Receipt,"98,506"
17-Dec-21,Sales,"26,802"
11-Dec-21,Sales,"92,498"
14-Apr-21,Journal,"52,305"
28-Mar-22,Payment,"22,383"
16-Sep-21,Journal,"4,264"
01-Dec-21,Journal,"70,348"
12-Aug-21,Sales,"36,790"
05-Jan-22,Purchase,"10,678"
02-May-21,Payment,"85,605"
02-Dec-21,Sales,"51,096"
16-Sep-21,Receipt,"34,080"
24-Nov-21,Sales,"83,401"
26-Aug-21,Receipt,"35,482"
07-May-21,Journal,"61,609"
01-Apr-21,Receipt,"87,104"
11-Feb-22,Purchase,"38,151"
05-Mar-22,Sales,"78,586"
06-Apr-21,Payment,"34,860"
24-May-21,Purchase,"13,601"
12-May-21,Payment,"83,765"
27-Dec-21,Journal,"66,119"
16-Sep-21,Purchase,"27,770"
26-Jan-22,Sales,"53,688"
04-Jul-21,Journal,"25,307"
29-Aug-21,Purchase,"76,578"
30-Apr-21,Purchase,"13,940"
27-Mar-22,Payment,"10,520"
17-Feb-22,Payment,"53,323"
25-Dec-21,Sales,"41,421"
06-Jan-22,Payment,"12,734"
01-Aug-21,Purchase,"3,913"
28-Oct-21,Receipt,"85,382"
21-May-21,Receipt,"23,985"
26-Mar-22,Journal,"88,448"
07-May-21,Receipt,"53,330"
03-Jan-22,Journal,"77,921"
28-Sep-21,Purchase,"82,540"
29-Oct-21,Receipt,"86,986"
17-Mar-22,Purchase,"5,639"
05-Mar-22,Payment,"58,215"
18-Aug-21,Purchase,"37,161"
02-Feb-22,Journal,"89,469"
04-Oct-21,Payment,"84,338"
04-Sep-21,Purchase,"68,274"
29-Nov-21,Receipt,"35,303"
23-Sep-21,Journal,"24,531"
12-Jun-21,Journal,"80,914"
29-Apr-21,Journal,"28,110"
30-Sep-21,Payment,"46,954"
01-Jul-21,Payment,"26,432"
21-Aug-21,Journal,"16,717"
27-Apr-21,Payment,"60,198"
22-Apr-21,Payment,"66,199"
25-Sep-21,Journal,"21,638"
16-Dec-21,Receipt,"36,976"
29-Dec-21,Sales,"26,333"
06-Jul-21,Purchase,"8,829"
02-Jun-21,Payment,"43,004"
25-Jul-21,Receipt,"76,721"
22-Mar-22,Purchase,"74,667"
16-Jun-21,Sales,"94,850"
25-Apr-21,Payment,"93,744"
21-Apr-21,Purchase,"33,169"
15-Feb-22,Receipt,"77,293"
12-Sep-21,Sales,"27,005"
05-Sep-21,Purchase,"74,683"
22-Feb-22,Journal,"76,690"
24-Jun-21,Receipt,"25,739"
11-Aug-21,Purchase,"27,926"
25-Apr-21,Receipt,"19,849"
16-Oct-21,Purchase,"23,983"
30-Jan-22,Purchase,"39,910"
03-May-21,Purchase,"14,895"
08-Oct-21,Purchase,"84,353"
05-Aug-21,Receipt,"91,820"
13-Jan-22,Purchase,"28,294"
05-Jun-21,Journal,"85,753"
11-Apr-21,Payment,"42,998"
